word,phonetic_symbol,part_of_speech,chinese_meaning,example_sentence
fix,/fɪks/,v.,修理,"My father knows how to fix broken electrical appliances."
public,/ˈpʌblɪk/,adj.,公共的；公开的,"The library is a public place that everyone can use."
population,/ˌpɒpjuˈleɪʃn/,n.,人口,"The population of China is over 1.4 billion."
agriculture,/ˈæɡrɪkʌltʃə(r)/,n.,农业,"Agriculture is an important industry in many countries."
trade,/treɪd/,n.,贸易；买卖,"International trade helps countries develop their economies."
industry,/ˈɪndəstri/,n.,工业；生产制造,"The car industry employs thousands of workers."
role,/rəʊl/,n.,角色,"Parents play an important role in a child's education."
goods,/ɡʊdz/,n.,商品；货品,"The shop sells a wide variety of goods."
overseas,/ˌəʊvəˈsiːz/,adv.,在国外；向海外,"My brother is studying overseas for one year."
global,/ˈɡləʊbl/,adj.,全球的；全世界的,"Climate change is a global problem that affects everyone."
income,/ˈɪnkʌm/,n.,收入；收益；所得,"Many people lost their income during the pandemic."
nearly,/ˈnɪəli/,adv.,几乎；差不多；将近,"It's nearly time for dinner; let's set the table."
business,/ˈbɪznəs/,n.,买卖；生意,"My uncle runs a small business selling handmade furniture."
leisure,/ˈleʒə(r)/,n.,闲暇；空闲；休闲,"People need leisure time to relax and enjoy themselves."
throughout,/θruːˈaʊt/,prep.,自始至终；贯穿整个时期,"The music played throughout the night."
duty,/ˈdjuːti/,n.,责任；义务,"It is the duty of all citizens to protect the environment."
speed,/spiːd/,n.,速度；速率,"The car was traveling at a high speed on the highway."
safety,/ˈseɪfti/,n.,安全；平安,"Safety is the most important consideration when working with machinery."
instruction,/ɪnˈstrʌkʃn/,n.,用法说明；操作指南,"Always read the instruction manual before using a new device."
connect,/kəˈnekt/,v.,（使）连接,"This cable connects the printer to the computer."
device,/dɪˈvaɪs/,n.,装置；设备,"This electronic device can translate between different languages."
rule,/ruːl/,n.,规则；条例,"Students must follow school rules at all times."
climate,/ˈklaɪmət/,n.,气候,"Southern China has a warm climate all year round."
amount,/əˈmaʊnt/,n.,数量；数额,"A large amount of money was spent on the new school building."
power,/ˈpaʊə(r)/,v.,驱动；推动(机器或车辆),"This small engine powers the lawn mower."
television set,/ˈtelɪvɪʒn set/,n.,电视机,"Our family bought a new television set last month."
landmark,/ˈlændmɑːk/,n.,地标,"The Eiffel Tower is a famous landmark in Paris."
a bit,/ə bɪt/,phr.,有点儿；稍微,"I'm a bit tired after the long walk."
at once,/æt wʌns/,phr.,立即；马上,"When the fire alarm rang, everyone left the building at once."
drinking water,/ˈdrɪŋkɪŋ ˈwɔːtə(r)/,phr.,饮用水,"Always carry enough drinking water when hiking in hot weather."
play a role in...,/pleɪ ə rəʊl ɪn/,phr.,在……起作用,"Education plays an important role in a country's development."
make sure,/meɪk ʃʊə(r)/,phr.,确保；设法保证,"Please make sure you lock the door when you leave."
battery,/ˈbætəri/,n.,电池,"My phone battery is running low; I need to charge it."
electricity,/ɪˌlekˈtrɪsəti/,n.,电；电能,"This village didn't have electricity until ten years ago."
switch-off,/ˈswɪtʃ ɒf/,adj.,关闭(电灯、机器等)的,"Remember the switch-off time for all electronic devices."
task,/tɑːsk/,n.,任务；活动,"The teacher assigned a difficult task to the students."
while,/waɪl/,n.,一段时间；一会儿,"Let's rest for a while before continuing our journey."
tablet,/ˈtæblət/,n.,平板电脑,"Many students now use tablets instead of textbooks."
fridge,/frɪdʒ/,n.,冰箱,"Please put the milk back in the fridge after use."
yogurt,/ˈjɒɡət/,n.,酸奶,"I like to eat yogurt with fresh fruit for breakfast."
apartment,/əˈpɑːtmənt/,n.,公寓套房,"They live in a small apartment in the city center."
household,/ˈhaʊshəʊld/,adj.,家庭的,"Cleaning is an important household chore."
against,/əˈɡenst/,prep.,紧靠；碰；撞,"He leaned his bicycle against the wall."
have something in common,/hæv ˈsʌmθɪŋ ɪn ˈkɒmən/,phr.,有相同的特征,"Though they look different, the twins have many things in common."
light bulb,/laɪt bʌlb/,phr.,电灯泡,"We need to replace the light bulb in the kitchen."
air conditioner,/eə(r) kənˈdɪʃənə(r)/,phr.,空调机；空调设备,"Turn off the air conditioner when you leave the room."
video game,/ˈvɪdiəʊ ɡeɪm/,phr.,电子游戏,"Some children spend too much time playing video games."
run out of,/rʌn aʊt ɒv/,phr.,用完；耗尽,"We've run out of milk; I need to go to the store."
go bad,/ɡəʊ bæd/,phr.,变质,"Food can go bad quickly in hot weather if not refrigerated."
electric car,/ɪˈlektrɪk kɑː(r)/,phr.,电动汽车,"Electric cars produce less pollution than traditional cars."
electric appliance,/ɪˈlektrɪkəl əˈplaɪəns/,phr.,电器,"The store sells all kinds of electrical appliances for the home."
care about,/keə(r) əˈbaʊt/,phr.,关注；担忧,"Young people increasingly care about environmental issues."
climate change,/ˈklaɪmət tʃeɪndʒ/,phr.,气候变化,"Climate change affects weather patterns around the world."
join in,/dʒɔɪn ɪn/,phr.,参加；加入,"Everyone is welcome to join in the school's sports activities."
contribution,/ˌkɒntrɪˈbjuːʃn/,n.,贡献,"She made an important contribution to medical research."
hero,/ˈhɪərəʊ/,n.,英雄,"Firefighters are heroes who save people from burning buildings."
pioneer,/ˌpaɪəˈnɪə(r)/,n.,先锋；先驱,"Marie Curie was a pioneer in the field of radioactivity."
technology,/tekˈnɒlədʒi/,n.,科技,"Modern technology has changed the way we communicate."
receive,/rɪˈsiːv/,v.,拿到；接到；收到,"I received an email from my teacher this morning."
engineering,/ˌendʒɪˈnɪərɪŋ/,n.,工程学,"My brother is studying engineering at university."
award,/əˈwɔːd/,"v.;n.","[授予;奖励]；奖","The president will award medals to the Olympic champions."
education,/ˌedʒuˈkeɪʃn/,n.,教育,"Everyone has the right to receive education."
spend,/spend/,v.,花(时间)；度过,"I like to spend time with my family on weekends."
research,/rɪˈsɜːtʃ/,n.,研究；调查,"Scientists conduct research to find cures for diseases."
achieve,/əˈtʃiːv/,v.,（凭长期努力）达到,"With hard work, you can achieve your goals."
well-respected,/ˌwel rɪˈspektɪd/,adj.,受尊敬的,"She is a well-respected doctor in our community."
found,/faʊnd/,v.,建立(城镇或国家),"The university was founded in 1898."
eager,/ˈiːɡə(r)/,adj.,热切的；渴望的,"The children were eager to open their presents."
raise,/reɪz/,v.,增加；提高,"The company plans to raise salaries next year."
mission,/ˈmɪʃn/,n.,使命,"The mission of this organization is to protect endangered animals."
honour,/ˈɒnə(r)/,n.,荣誉；名誉,"It is a great honour to receive this award."
public,/ˈpʌblɪk/,n.,百姓；民众,"The public has the right to know about government decisions."
approval,/əˈpruːvl/,n.,赞成；同意,"The plan received approval from the city council."
praise,/preɪz/,n.,赞扬；称赞；赞美,"The teacher gave praise to students who worked hard."
society,/səˈsaɪəti/,n.,社会,"Technology has transformed modern society."
female,/ˈfiːmeɪl/,adj.,女的；女性的,"Marie Curie was a famous female scientist."
admire,/ədˈmaɪə/,v.,钦佩；仰慕,"I admire people who stand up for what they believe in."
inspire,/ɪnˈspaɪə/,v.,激励；鼓舞,"Great teachers inspire their students to learn."
regular,/ˈreɡjələ(r)/,adj.,通常的；平常的,"We have regular meetings every Monday morning."
feed,/fiːd/,v.,养活；提供食物,"Parents work hard to feed and care for their children."
smokejumper,/ˈsməʊkˌdʒʌmpə(r)/,n.,空降消防员,"Smokejumpers parachute into remote areas to fight wildfires."
thick,/θɪk/,adj.,茂密的,"The forest was so thick that we could hardly see the sky."
certain,/ˈsɜːtn/,adj.,某个；特定的,"There are certain rules that everyone must follow."
kill,/kɪl/,v.,杀死；导致死亡,"Smoking can kill and cause serious health problems."
tool,/tuːl/,n.,工具,"You will need special tools to fix this device."
dead,/ded/,adj.,失去生命的；枯萎的,"The flowers were dead due to lack of water."
brave,/breɪv/,adj.,勇敢的；无畏的,"Firefighters are brave people who risk their lives to save others."
tough,/tʌf/,adj.,健壮的；坚韧不拔的,"Football players need to be tough to handle physical contact."
fit,/fɪt/,adj.,健壮的；健康的,"Regular exercise helps you stay fit and healthy."
otherwise,/ˈʌðəwaɪz/,adv.,否则；不然,"Hurry up, otherwise we'll miss the train."
survive,/səˈvaɪv/,v.,生存；存活,"Few plants can survive in the desert without water."
proud,/praʊd/,adj.,骄傲的；自豪的,"Parents are proud when their children do well in school."
role model,/rəʊl ˈmɒdl/,phr.,楷模；行为榜样,"Many young people see their favorite athletes as role models."
in the field of,/ɪn ðə fiːld ɒv/,phr.,在……领域,"She is an expert in the field of marine biology."
devote yourself to,/dɪˈvəʊt jɔːˈself tuː/,phr.,献身；致力,"She devoted herself to helping children with special needs."
college entrance examination,/ˈkɒlɪdʒ ˈentrəns ɪɡˌzæmɪˈneɪʃn/,phr.,大学入学考试,"Students work hard to prepare for the college entrance examination."
look up to,/lʊk ʌp tuː/,phr.,敬仰；钦佩,"Children often look up to their parents and teachers."
sugar pill,/ˈʃʊɡə pɪl/,phr.,糖丸,"Some patients feel better after taking sugar pills even though they contain no medicine."
chief engineer,/tʃiːf ˌendʒɪˈnɪə(r)/,phr.,总工程师,"The chief engineer is responsible for all technical aspects of the project."
put out,/pʊt aʊt/,phr.,熄灭；扑灭,"The firefighters worked quickly to put out the forest fire."
be able to,/bi ˈeɪbl tuː/,phr.,能够,"After years of practice, she is able to play the piano beautifully."
be proud of,/bi praʊd ɒv/,phr.,为……而自豪,"I am proud of my son's achievements at school."
possible,/ˈpɒsəbl/,adj.,可能,"Is it possible to finish this work by tomorrow?"
athlete,/ˈæθliːt/,n.,运动员,"Professional athletes train for many hours every day."
biologist,/baɪˈɒlədʒɪst/,n.,生物学家,"The biologist is studying the behavior of sea turtles."
instrument,/ˈɪnstrəmənt/,n.,乐器；仪器,"The violin is a difficult instrument to learn."
interest,/ˈɪntrəst/,n.,兴趣；业余爱好,"Reading is one of my main interests."
career,/kəˈrɪə(r)/,n.,生涯；职业,"She has had a successful career as a doctor."
lifetime,/ˈlaɪftaɪm/,n.,一生；终身,"People can learn new skills throughout their lifetime."
diamond,/ˈdaɪəmənd/,n.,钻石,"She received a beautiful diamond ring for her engagement."
belt,/belt/,n.,腰带,"Always wear your seat belt when driving."
shoot,/ʃuːt/,v.,冲；奔；飞驰,"The children shoot out of the classroom when the bell rings."
extremely,/ɪkˈstriːmli/,adv.,极其；极端；非常,"The test was extremely difficult; few students passed."
curious,/ˈkjʊəriəs/,adj.,求知欲强的；好奇的,"Children are naturally curious about the world around them."
increase,/ɪnˈkriːs/,v.,增长；增多；增加,"The population of the city has increased rapidly in recent years."
host,/həʊst/,v.,主持,"She will host a dinner party for her colleagues next week."
beyond,/bɪˈjɒnd/,adv.,在另一边；在(或向)更远处,"The children ran beyond the playground into the fields."
audience,/ˈɔːdiəns/,n.,观众；听众,"The audience applauded loudly at the end of the performance."
lively,/ˈlaɪvli/,adj.,充满趣味的；令人兴奋的,"The market is a lively place with many shops and people."
actually,/ˈæktʃuəli/,adv.,事实上,"I thought the movie would be boring, but actually it was quite interesting."
sail,/seɪl/,v.,驾驶(或乘坐)帆船航行,"We plan to sail around the island during our vacation."
ability,/əˈbɪləti/,n.,才能；本领,"She has a natural ability for learning languages."
review,/rɪˈvjuː/,n.,评论,"The film received positive reviews from most critics."
lecture,/ˈlektʃə(r)/,n.,讲座；讲课；演讲,"The professor gave an interesting lecture on ancient civilizations."
perform,/pəˈfɔːm/,v.,演出；表演,"The students will perform a play for the school festival."
kiss,/kɪs/,n.,吻,"She gave her mother a kiss goodbye before leaving."
hug,/hʌɡ/,n.,拥抱；搂抱,"A warm hug can make you feel better when you're sad."
method,/ˈmeθəd/,n.,方法；办法,"Scientists use different methods to test their theories."
compare,/kəmˈpeə(r)/,v.,将……比作,"The teacher asked us to compare the two poems and find similarities."
body language,/ˈbɒdi ˈlæŋɡwɪdʒ/,phr.,肢体语言,"You can often tell how someone feels by their body language."
dream of,/driːm ɒv/,phr.,梦想,"Many young people dream of becoming famous one day."
come true,/kʌm truː/,phr.,实现；成为现实,"Her dream of becoming a doctor finally came true."
human being,/ˈhjuːmən ˈbiːɪŋ/,n.,人,"Every human being has the right to clean water and food."
nowadays,/ˈnaʊədeɪz/,adv.,现今；现在,"Nowadays, most people have mobile phones."
go outside,/ɡəʊ ˈaʊtsaɪd/,phr.,外出,"Children should go outside and play rather than watching TV all day."
more and more,/mɔːr ænd mɔː(r)/,phr.,越来越多,"More and more people are choosing to work from home."
